2026-04-15 06:21:37 | WARNING  | analyzers.institutional_flow        | institutional_flow.py:1058 | Timeout: https://publicreporting.cftc.gov/api/odata/v1/CorpActions?$filter=Market_and_Exchange_Names eq 'BITCOIN - CHICAGO MERCANTILE EXCHANGE'&$orderby=Report_Date_as_YYYY_MM_DD desc&$top=1
    raise exc
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/telegram/request/_baserequest.py", line 330, in _request_wrapper
    code, payload = await self.do_request(
                    ^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/telegram/request/_httpxrequest.py", line 292, in do_request
    raise NetworkError(f"httpx.{err.__class__.__name__}: {err}") from err
telegram.error.NetworkError: httpx.ConnectError: [Errno 8] nodename nor servname provided, or not known
2026-04-15 08:19:52 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 5/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=MONUSDT — retrying in 48.0s
2026-04-15 08:19:53 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 1/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=BTCUSDT — retrying in 3.0s
2026-04-15 08:19:54 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 1/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=ETHUSDT — retrying in 3.0s
2026-04-15 08:19:54 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 1/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=SOLUSDT — retrying in 3.0s
2026-04-15 08:19:54 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 1/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=BNBUSDT — retrying in 3.0s
2026-04-15 08:19:54 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 1/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=XRPUSDT — retrying in 3.0s
2026-04-15 08:19:55 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 1/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=DOGEUSDT — retrying in 3.0s
2026-04-15 08:19:55 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 1/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=ADAUSDT — retrying in 3.0s
2026-04-15 08:19:55 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 1/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=AVAXUSDT — retrying in 3.0s
2026-04-15 08:19:55 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 1/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=ARBUSDT — retrying in 3.0s
2026-04-15 08:19:56 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 1/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=OPUSDT — retrying in 3.0s
2026-04-15 08:19:56 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 1/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=SUIUSDT — retrying in 3.0s
2026-04-15 08:19:56 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 1/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=DOTUSDT — retrying in 3.0s
2026-04-15 08:19:56 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 2/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=BTCUSDT — retrying in 6.0s
2026-04-15 08:19:57 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 2/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=ETHUSDT — retrying in 6.0s
2026-04-15 08:19:57 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 2/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=SOLUSDT — retrying in 6.0s
2026-04-15 08:19:57 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 1/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=BTCUSDT — retrying in 3.0s
2026-04-15 08:19:58 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 2/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=BNBUSDT — retrying in 6.0s
2026-04-15 08:19:58 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 2/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=XRPUSDT — retrying in 6.0s
2026-04-15 08:19:58 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 2/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=DOGEUSDT — retrying in 6.0s
2026-04-15 08:19:58 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 2/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=ADAUSDT — retrying in 6.0s
2026-04-15 08:19:59 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 2/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=AVAXUSDT — retrying in 6.0s
2026-04-15 08:19:59 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 2/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=ARBUSDT — retrying in 6.0s
2026-04-15 08:19:59 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 2/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=OPUSDT — retrying in 6.0s
2026-04-15 08:19:59 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 2/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=SUIUSDT — retrying in 6.0s
2026-04-15 08:20:00 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 2/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=DOTUSDT — retrying in 6.0s
2026-04-15 08:20:00 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 2/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=BTCUSDT — retrying in 6.0s
2026-04-15 08:20:03 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 3/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=BTCUSDT — retrying in 12.0s
2026-04-15 08:20:03 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 3/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=ETHUSDT — retrying in 12.0s
2026-04-15 08:20:03 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 3/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=SOLUSDT — retrying in 12.0s
2026-04-15 08:20:04 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 3/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=BNBUSDT — retrying in 12.0s
2026-04-15 08:20:04 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 3/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=XRPUSDT — retrying in 12.0s
2026-04-15 08:20:04 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 3/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=DOGEUSDT — retrying in 12.0s
2026-04-15 08:20:04 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 3/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=ADAUSDT — retrying in 12.0s
2026-04-15 08:20:05 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 3/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=AVAXUSDT — retrying in 12.0s
2026-04-15 08:20:05 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 3/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=ARBUSDT — retrying in 12.0s
2026-04-15 08:20:05 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 3/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=OPUSDT — retrying in 12.0s
2026-04-15 08:20:05 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 3/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=SUIUSDT — retrying in 12.0s
2026-04-15 08:20:06 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 3/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=DOTUSDT — retrying in 12.0s
2026-04-15 08:20:15 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 4/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=BTCUSDT — retrying in 24.0s
2026-04-15 08:20:15 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 4/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=ETHUSDT — retrying in 24.0s
2026-04-15 08:20:15 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 1/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=BTCUSDT — retrying in 3.0s
2026-04-15 08:20:16 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 4/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=SOLUSDT — retrying in 24.0s
2026-04-15 08:20:16 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 4/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=BNBUSDT — retrying in 24.0s
2026-04-15 08:20:16 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 4/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=XRPUSDT — retrying in 24.0s
2026-04-15 08:20:16 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 4/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=DOGEUSDT — retrying in 24.0s
2026-04-15 08:20:16 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 4/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=ADAUSDT — retrying in 24.0s
2026-04-15 08:20:17 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 4/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=AVAXUSDT — retrying in 24.0s
2026-04-15 08:20:17 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 4/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=ARBUSDT — retrying in 24.0s
2026-04-15 08:20:17 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 4/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=OPUSDT — retrying in 24.0s
2026-04-15 08:20:17 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 4/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=SUIUSDT — retrying in 24.0s
2026-04-15 08:20:18 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 4/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=DOTUSDT — retrying in 24.0s
2026-04-15 08:20:18 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 2/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=BTCUSDT — retrying in 6.0s
2026-04-15 08:20:22 | ERROR    | telegram.ext.Updater                | _updater.py:728 | Error while getting Updates: httpx.ConnectError: [Errno 8] nodename nor servname provided, or not known
2026-04-15 08:20:22 | ERROR    | telegram.ext.Updater                | _updater.py:408 | Exception happened while polling for updates.
Traceback (most recent call last):
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/httpx/_transports/default.py", line 67, in map_httpcore_exceptions
    yield
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/httpx/_transports/default.py", line 371, in handle_async_request
    resp = await self._pool.handle_async_request(req)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/httpcore/_async/connection_pool.py", line 256, in handle_async_request
    raise exc from None
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/httpcore/_async/connection_pool.py", line 236, in handle_async_request
    response = await connection.handle_async_request(
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/httpcore/_async/connection.py", line 101, in handle_async_request
    raise exc
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/httpcore/_async/connection.py", line 78, in handle_async_request
    stream = await self._connect(request)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/httpcore/_async/connection.py", line 124, in _connect
    stream = await self._network_backend.connect_tcp(**kwargs)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/httpcore/_backends/auto.py", line 31, in connect_tcp
    return await self._backend.connect_tcp(
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/httpcore/_backends/anyio.py", line 113, in connect_tcp
    with map_exceptions(exc_map):
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py", line 158, in __exit__
    self.gen.throw(typ, value, traceback)
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/httpcore/_exceptions.py", line 14, in map_exceptions
    raise to_exc(exc) from exc
httpcore.ConnectError: [Errno 8] nodename nor servname provided, or not known

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/telegram/request/_httpxrequest.py", line 268, in do_request
    res = await self._client.request(
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/httpx/_client.py", line 1559, in request
    return await self.send(request, auth=auth, follow_redirects=follow_redirects)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/httpx/_client.py", line 1646, in send
    response = await self._send_handling_auth(
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/httpx/_client.py", line 1674, in _send_handling_auth
    response = await self._send_handling_redirects(
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/httpx/_client.py", line 1711, in _send_handling_redirects
    response = await self._send_single_request(request)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/httpx/_client.py", line 1748, in _send_single_request
    response = await transport.handle_async_request(request)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/httpx/_transports/default.py", line 370, in handle_async_request
    with map_httpcore_exceptions():
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py", line 158, in __exit__
    self.gen.throw(typ, value, traceback)
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/httpx/_transports/default.py", line 84, in map_httpcore_exceptions
    raise mapped_exc(message) from exc
httpx.ConnectError: [Errno 8] nodename nor servname provided, or not known

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/telegram/ext/_updater.py", line 715, in _network_loop_retry
    if not await action_cb():
           ^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/telegram/ext/_updater.py", line 384, in polling_action_cb
    raise exc
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/telegram/ext/_updater.py", line 373, in polling_action_cb
    updates = await self.bot.get_updates(
              ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/telegram/ext/_extbot.py", line 618, in get_updates
    updates = await super().get_updates(
              ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/telegram/_bot.py", line 542, in decorator
    result = await func(self, *args, **kwargs)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/telegram/_bot.py", line 4164, in get_updates
    await self._post(
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/telegram/_bot.py", line 630, in _post
    return await self._do_post(
           ^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/telegram/ext/_extbot.py", line 347, in _do_post
    return await super()._do_post(
           ^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/telegram/_bot.py", line 658, in _do_post
    return await request.post(
           ^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/telegram/request/_baserequest.py", line 200, in post
    result = await self._request_wrapper(
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/telegram/request/_baserequest.py", line 340, in _request_wrapper
    raise exc
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/telegram/request/_baserequest.py", line 330, in _request_wrapper
    code, payload = await self.do_request(
                    ^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/telegram/request/_httpxrequest.py", line 292, in do_request
    raise NetworkError(f"httpx.{err.__class__.__name__}: {err}") from err
telegram.error.NetworkError: httpx.ConnectError: [Errno 8] nodename nor servname provided, or not known
2026-04-15 08:20:24 | WARNING  | analyzers.institutional_flow        | institutional_flow.py:1061 | GET error https://fapi.binance.com/futures/data/topLongShortAccountRatio: Cannot connect to host fapi.binance.com:443 ssl:default [nodename nor servname provided, or not known]
2026-04-15 08:20:24 | WARNING  | analyzers.institutional_flow        | institutional_flow.py:1061 | GET error https://fapi.binance.com/futures/data/globalLongShortAccountRatio: Cannot connect to host fapi.binance.com:443 ssl:default [nodename nor servname provided, or not known]
2026-04-15 08:20:24 | WARNING  | analyzers.institutional_flow        | institutional_flow.py:1061 | GET error https://fapi.binance.com/futures/data/takerlongshortRatio: Cannot connect to host fapi.binance.com:443 ssl:default [nodename nor servname provided, or not known]
2026-04-15 08:20:24 | WARNING  | analyzers.institutional_flow        | institutional_flow.py:1061 | GET error https://fapi.binance.com/fapi/v1/openInterest: Cannot connect to host fapi.binance.com:443 ssl:default [nodename nor servname provided, or not known]
2026-04-15 08:20:24 | WARNING  | analyzers.institutional_flow        | institutional_flow.py:1061 | GET error https://fapi.binance.com/fapi/v1/premiumIndex: Cannot connect to host fapi.binance.com:443 ssl:default [nodename nor servname provided, or not known]
2026-04-15 08:20:24 | WARNING  | analyzers.institutional_flow        | institutional_flow.py:1061 | GET error https://api.bybit.com/v5/market/account-ratio: Cannot connect to host api.bybit.com:443 ssl:default [nodename nor servname provided, or not known]
2026-04-15 08:20:25 | WARNING  | analyzers.institutional_flow        | institutional_flow.py:1061 | GET error https://api.bybit.com/v5/market/open-interest: Cannot connect to host api.bybit.com:443 ssl:default [nodename nor servname provided, or not known]
2026-04-15 08:20:25 | WARNING  | analyzers.institutional_flow        | institutional_flow.py:1061 | GET error https://api.bybit.com/v5/market/funding/history: Cannot connect to host api.bybit.com:443 ssl:default [nodename nor servname provided, or not known]
2026-04-15 08:20:25 | WARNING  | analyzers.institutional_flow        | institutional_flow.py:1061 | GET error https://api.exchange.coinbase.com/products/BTC-USD/ticker: Cannot connect to host api.exchange.coinbase.com:443 ssl:default [nodename nor servname provided, or not known]
2026-04-15 08:20:25 | WARNING  | analyzers.institutional_flow        | institutional_flow.py:1061 | GET error https://api.binance.com/api/v3/ticker/price: Cannot connect to host api.binance.com:443 ssl:default [nodename nor servname provided, or not known]
2026-04-15 08:20:26 | ERROR    | analyzers.stablecoin_flows          | stablecoin_flows.py:267 | Stablecoin supply fetch failed: Cannot connect to host stablecoins.llama.fi:443 ssl:default [nodename nor servname provided, or not known]
Traceback (most recent call last):
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/aiohttp/connector.py", line 1203, in _create_direct_connection
    hosts = await self._resolve_host(host, port, traces=traces)
            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/aiohttp/connector.py", line 880, in _resolve_host
    return await asyncio.shield(resolved_host_task)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/aiohttp/connector.py", line 917, in _resolve_host_with_throttle
    addrs = await self._resolver.resolve(host, port, family=self._family)
            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/aiohttp/resolver.py", line 33, in resolve
    infos = await self._loop.getaddrinfo(
            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/asyncio/base_events.py", line 868, in getaddrinfo
    return await self.run_in_executor(
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/concurrent/futures/thread.py", line 58, in run
    result = self.fn(*self.args, **self.kwargs)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/socket.py", line 962, in getaddrinfo
    for res in _socket.getaddrinfo(host, port, family, type, proto, flags):
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
socket.gaierror: [Errno 8] nodename nor servname provided, or not known

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "/Users/judeharsha/Downloads/Titanbot-main/analyzers/stablecoin_flows.py", line 193, in _fetch_supply
    async with self._session.get(url) as resp:
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/aiohttp/client.py", line 1197, in __aenter__
    self._resp = await self._coro
                 ^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/aiohttp/client.py", line 581, in _request
    conn = await self._connector.connect(
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/aiohttp/connector.py", line 544, in connect
    proto = await self._create_connection(req, traces, timeout)
            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/aiohttp/connector.py", line 944, in _create_connection
    _, proto = await self._create_direct_connection(req, traces, timeout)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/aiohttp/connector.py", line 1209, in _create_direct_connection
    raise ClientConnectorError(req.connection_key, exc) from exc
aiohttp.client_exceptions.ClientConnectorError: Cannot connect to host stablecoins.llama.fi:443 ssl:default [nodename nor servname provided, or not known]
2026-04-15 08:20:26 | ERROR    | analyzers.stablecoin_flows          | stablecoin_flows.py:303 | Stablecoin dominance computation failed: Cannot connect to host api.coingecko.com:443 ssl:default [nodename nor servname provided, or not known]
Traceback (most recent call last):
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/aiohttp/connector.py", line 1203, in _create_direct_connection
    hosts = await self._resolve_host(host, port, traces=traces)
            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/aiohttp/connector.py", line 880, in _resolve_host
    return await asyncio.shield(resolved_host_task)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/aiohttp/connector.py", line 917, in _resolve_host_with_throttle
    addrs = await self._resolver.resolve(host, port, family=self._family)
            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/aiohttp/resolver.py", line 33, in resolve
    infos = await self._loop.getaddrinfo(
            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/asyncio/base_events.py", line 868, in getaddrinfo
    return await self.run_in_executor(
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/concurrent/futures/thread.py", line 58, in run
    result = self.fn(*self.args, **self.kwargs)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/socket.py", line 962, in getaddrinfo
    for res in _socket.getaddrinfo(host, port, family, type, proto, flags):
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
socket.gaierror: [Errno 8] nodename nor servname provided, or not known

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "/Users/judeharsha/Downloads/Titanbot-main/analyzers/stablecoin_flows.py", line 277, in _fetch_dominance
    async with self._session.get(url) as resp:
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/aiohttp/client.py", line 1197, in __aenter__
    self._resp = await self._coro
                 ^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/aiohttp/client.py", line 581, in _request
    conn = await self._connector.connect(
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/aiohttp/connector.py", line 544, in connect
    proto = await self._create_connection(req, traces, timeout)
            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/aiohttp/connector.py", line 944, in _create_connection
    _, proto = await self._create_direct_connection(req, traces, timeout)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/aiohttp/connector.py", line 1209, in _create_direct_connection
